psi,eta
0,0
-0.0246926125903715,-0.000189357347835186
-0.130053128248198,-0.000378714695670371
-0.279584862219162,-0.000568072043505557
-0.417735200699979,-0.000757429391340743
-0.535518236356362,-0.000946786739175928
-0.669049628980885,-0.00113614408701111
-0.769133087537867,-0.0013255014348463
-0.940983344464527,-0.00151485878268149
-1.07451473708905,-0.00170421613051667
-1.22866541691631,-0.00189357347835186
-1.31567679390594,-0.00208293082618704
-1.41098697371026,-0.00227228817402223
-1.63413052502447,-0.0026510028696926
-1.92181259747625,-0.00302971756536297
-2.32727770558442,-0.00340843226103334
-2.6149597780362,-0.00378714695670371
-2.6149597780362,-0.00416586165237408
-3.02042488614436,-0.00454457634804445
-3.71357206670431,-0.00492329104371483
-3.71357206670431,-0.0053020057393852
-3.71357206670431,-0.00568072043505557
-3.71357206670431,-0.00605943513072594
